DBA_Name,Batch_ID,PL_Lambda_max,absorbance_peak,SO,T80,SO*T80,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,O11,O12,O13,O14,O15,O16,O17,O18,O19,O20
DB_04_A_070,Top7-2,386.66,0.67403887,8.23,31.94,262.87,3.822662942,4.916265726,5.150290374,5.416264668,5.441990518,5.488210262,5.657554544,5.747489636,5.922822152,6.024944478,6.256501924,6.50634642,6.506371216,6.572948476,6.657130896,6.720224318,6.749334822,6.751120134,6.88051806,7.051771634,1.631042206,0.021345493,0.001842697,0.031415173,0.014604879,0.000446604,0.005050648,0.05777835,0.144350467,0.171121532,0.015745108,0.01325206,0.046176666,0.077823419,0.015355074,0.014110137,0.011176103,0.012878849,0.013812081,0.225121239
DB_04_A_046,Top7-1,386,0.460809005,6.36,24.91,158.43,3.912015328,4.956794788,5.050176524,5.442560826,5.50588981,5.506336138,5.511320134,5.529098866,5.560924532,5.668824326,5.766223014,5.971385118,6.04328112,6.238264466,6.273350806,6.287447332,6.362604008,6.420143126,6.508739234,6.533349264,1.622602561,0.030342473,0.004654848,0.021279189,0.016778069,0.000712137,0.004641804,0.000518756,0.001453583,0.005472727,0.050273927,0.230460536,0.059450261,0.176407628,0.098763683,0.107517481,0.14329589,0.111385195,0.031365845,0.042248595
DB_22_A_083,r4-3,386,1.216333333,6.66,23.09,153.78,4.00089659,4.27997557,4.564373292,4.607890272,4.747826498,4.765059718,5.03817526,5.174888006,5.255834548,5.358390804,5.541521662,5.65416989,5.849537574,6.009583356,6.015224446,6.015831948,6.079160932,6.0898976,6.124587204,6.271974628,2.305491788,0.088258446,0.023142225,0.238376873,0.300251327,0.077523953,0.032169816,0.077164834,0.055112781,1.027762462,0.061912655,0.003447587,0.020439013,0.113018895,0.001987885,0.016558767,0.082558413,0.010462055,0.045345815,0.032504055
DB_10_A_091,r5-3s4,395.3,0.528948394,7.87,19.48,153.31,4.01689001,4.893465804,5.04480819,5.174776424,5.350803228,5.397308126,5.4569797,5.609028772,5.698157994,5.766086636,5.858228572,5.977348556,5.982134184,6.172629454,6.226374784,6.277801688,6.34783799,6.379105746,6.396698508,6.490241418,1.644258674,0.011503898,0.084519461,0.017180631,0.123546915,0.047027805,0.006969852,0.251953467,0.12585617,0.231928918,0.045435402,0.015222292,0.049329988,0.029591176,0.019052245,0.025739768,0.034655637,0.010312825,0.053439685,0.0395138
DB_10_A_084,r5-4s7,389.6,0.737515124,8.92,15.64,139.51,3.84914507,4.818619078,4.954848302,5.014048752,5.400853954,5.523780124,5.65231019,5.743894216,5.782848732,5.838081822,6.019526552,6.08952566,6.114309262,6.217559806,6.263804346,6.304519378,6.372993532,6.490737338,6.568509992,6.599294226,1.763440008,0.050539895,0.079412894,0.054416947,0.032181305,0.011584714,0.099543689,0.345665502,0.053380998,0.065918416,0.044749437,0.009622905,0.274968508,0.003365595,0.024867802,0.030625506,0.02458761,0.209720294,0.12652669,0.017167032
DB_20_A_027,r2-d5s1,377,0.449383777,4.55,15,68.25,3.88094594,4.175919156,4.214427344,4.464904138,4.602968266,4.770353664,4.773577144,4.947273124,5.026942672,5.043469206,5.066293924,5.336123996,5.517953064,5.591721164,5.593332904,5.73816634,5.757916354,5.785005984,5.905018624,5.968620364,0.624679113,0.000396373,0.499491013,0.00361521,0.487366272,0.000197707,0.044088271,0.026814925,0.117039409,0.011942356,0.011752729,0.582823409,5.15E-05,0.003812203,0.066629255,0.827790719,0.00786033,0.008732132,0.986598587,0.01255368
DB_22_A_063,Bot7-7,319.9938049,0.666325723,3.67,10.88,39.93,4.169174644,4.443108454,4.607059606,4.71142597,4.856123028,4.996964308,5.253615306,5.334090724,5.495202734,5.591510398,5.621823508,5.864799512,5.985791594,6.026680198,6.075119184,6.159685942,6.209984628,6.345184818,6.374977212,6.455229466,1.20991618,1.530007774,0.015160623,0.062867069,0.020943068,1.248743412,0.038885716,0.77101744,0.042829488,0.198094926,0.050034269,0.091181107,0.0896471,0.008562495,0.00388536,0.018001236,0.097017921,0.179775078,0.036551152,0.1888615
DB_13_A_031,Top7-4,361.9909973,0.500814085,3.95,10.8,42.66,4.050265426,4.949690734,5.124886872,5.505232716,5.534268832,5.547621478,5.591969124,5.752994348,5.857509488,6.043628264,6.054364932,6.150511422,6.228470046,6.27084641,6.293460362,6.356057864,6.450096694,6.470479006,6.474396774,6.54769375,1.739880418,0.001879974,0.066174449,0.00082835,0.035971695,0.019741406,0.00034575,0.015160949,0.074697268,0.012732688,0.114609434,0.01773695,0.028149446,0.019124245,0.014957808,0.019572907,0.033152358,0.00632003,0.091051148,0.005562094
DB_17_A_069,r2-d8s13,390,0.263934839,6.84,10.6,72.5,3.688801736,4.12121918,4.626363292,4.933957672,4.981032878,5.121068288,5.348596384,5.407375302,5.507414764,5.560031876,5.735240412,5.74262962,6.00100394,6.066514972,6.105469488,6.112821502,6.208930798,6.213344486,6.295679604,6.38441209,1.380298216,0.17585887,0.005934046,0.018997229,0.163063892,0.120581516,0.000701347,0.016428747,0.157788848,0.072775324,0.00748728,0.005198093,0.087132306,0.036362206,0.081614084,0.025084223,0.087486652,0.006122659,0.200290731,0.001801578
DB_22_A_046,r4-1,322,1.94676,5.88,10.49,61.68,4.252154458,4.55099585,4.727345002,4.969019216,5.09706576,5.342893304,5.50836941,5.514109684,5.527164778,5.531082546,5.716556626,5.913573244,5.99920623,6.029308574,6.11729718,6.164979888,6.254716612,6.282971654,6.29954778,6.406096192,1.064014935,0.989266223,0.009530278,0.644733124,0.008836797,0.701051032,0.001408251,0.004512841,0.024024339,0.001255742,0.030905065,0.118299704,0.116023553,0.003200548,0.00939538,0.01417176,0.338855645,0.123289952,0.346711884,0.38867818
DB_10_A_007,r5-1,394,0.787249908,10.76,10.48,112.76,3.857662496,4.673649264,4.75506693,5.069740568,5.23784505,5.364155874,5.430361194,5.573322532,5.577946986,5.695529618,5.758883398,5.874147604,5.953655978,6.024225394,6.07985522,6.15343735,6.253328036,6.31423941,6.391193796,6.452142364,1.99566862,0.132708206,0.022391523,0.08955426,0.041277526,0.149699577,0.005093663,0.058655031,0.000246632,0.013805643,0.128120779,0.04052383,0.026101544,0.003419178,0.010062007,0.047568314,0.012556982,0.026242376,0.000574552,0.001691897
DB_22_A_018,Bot7-5,327.0097656,0.599688935,3.14,9.77,30.68,4.164203046,4.434033118,4.66790899,4.857325634,4.944210818,5.308054924,5.484391678,5.669159072,5.683020036,5.765429542,5.867750236,5.885714938,5.977993252,6.083177884,6.188064964,6.19980587,6.281186342,6.373030726,6.490092642,6.510574138,1.132689941,1.194558825,0.036422675,0.43688362,0.010294924,0.643753223,0.134453304,0.009312622,0.047686358,0.197817205,0.004224258,0.060012684,0.009216207,0.011190318,0.014978304,0.000598811,0.030941374,0.338344183,0.059858558,0.331163855
DB_20_A_012,r3-3s1,320,0.341333333,2.4,9.7,23.28,4.213571882,4.608807724,4.97730108,5.016515954,5.341021206,5.524524004,5.537355934,5.595167808,5.612586998,5.614421902,5.773413854,5.938790776,6.05319952,6.16360371,6.220857674,6.239070336,6.352189688,6.382589584,6.488319728,6.520616518,0.560622308,0.513347376,0.001871408,0.062340383,0.641510069,0.017113432,0.862223904,0.05868333,0.000453072,0.000473512,0.043831587,0.003416128,0.052960691,0.059855923,0.198405125,0.00539689,0.541654825,0.04221834,0.409093096,0.166571971
DB_15_A_088,r3-1,390,0.268109667,5.19,9.3,48.27,3.885086872,3.937270054,4.273082282,4.681075666,5.063764732,5.148877002,5.460748692,5.547708264,5.797602352,5.87163081,5.940948028,6.067221658,6.170583784,6.199384338,6.281744252,6.288711928,6.350528356,6.467751446,6.494097196,6.58935103,0.360880979,0.130618949,0.177257381,0.158469032,0.054354398,0.13607705,0.913907232,0.027415611,0.04267034,0.208813676,0.03632045,0.015858011,0.010210281,0.104222356,0.012150254,0.237842651,0.10678631,0.269722488,0.006558541,0.523387105
DB_22_A_007,Bot7-4,329.334,0.533879976,3.4,9.15,31.11,4.24271958,4.43092122,4.68793176,4.722509782,4.853953378,5.332516178,5.402155744,5.549270412,5.697724064,5.751518986,5.838540548,5.877718228,6.011381066,6.024894886,6.066452982,6.245480102,6.289666574,6.33283641,6.371939702,6.49456832,1.492616857,1.026415061,0.039511612,0.020919287,0.441472774,0.651976307,0.016138532,0.086272003,0.062340261,0.072854788,0.02708292,0.074944157,0.006484664,0.011631844,0.001444748,0.000221364,0.080268128,0.033723605,0.136440322,0.213032317
DB_11_A_007,r5-2,411.6,0.73906185,13.7,8.87,121.52,3.568008022,4.457911666,4.667202304,5.038658782,5.211176952,5.405366826,5.470034794,5.493231452,5.576397236,5.692318536,5.709936094,5.762615196,5.836284112,5.871643208,5.964454636,5.984291436,6.024597334,6.185386996,6.28938142,6.393189874,2.087537645,0.044328215,0.044517572,0.154572628,0.083496451,0.013419252,0.001256457,0.006544492,0.013263641,0.071114769,0.024633717,0.008294,0.041074618,0.072119649,0.127372827,0.079833911,0.01098591,0.048131065,0.017962792,0.036498592
DB_10_A_002,r5-5,392.3,0.964111092,12.37,8.64,106.88,3.866787424,4.817763616,5.023805978,5.30188072,5.424707706,5.582546644,5.686045148,5.743943808,5.775099982,5.80678927,5.882243498,6.049269354,6.179485548,6.284744568,6.341924144,6.48235629,6.48898922,6.522934944,6.55717822,6.594917732,1.70592486,0.087564364,0.075288497,0.047025007,0.009726757,0.037639286,0.092649563,0.0363386,0.033773508,0.045582604,0.015625942,0.013506231,0.05993564,0.019743613,0.024101441,0.050764653,0.007634201,0.004470065,0.01338104,0.029416036
DB_09_A_002,r5-6s2,389,0.492773667,7.89,7.86,62.02,3.993247024,4.873790178,4.950161858,5.171602536,5.391505862,5.457946744,5.6119547,5.614545882,5.78168332,5.790349522,5.866448446,6.12126454,6.368815406,6.374233332,6.43053265,6.459060448,6.522104278,6.586648266,6.692514788,6.867301792,1.283062256,0.075226022,0.003765432,0.136198651,0.00462276,0.005630782,0.072639713,0.092216837,0.056064657,0.07760789,0.025004829,0.049764834,0.017546451,0.104263687,0.007532658,0.02130174,0.019503364,0.004183161,0.027856911,0.001183367
DB_13_A_080,Top7-7,379.3262533,0.564268952,6.1,6.67,40.69,3.953337862,4.824644506,4.937367122,5.309914624,5.34372397,5.664794976,5.778571422,5.928240078,5.97738575,5.987589304,6.074846428,6.226622744,6.306887396,6.353466682,6.528204094,6.629371774,6.66535077,6.76788223,6.916422668,6.994195322,1.779299311,0.032662993,0.000247537,0.008725193,0.013925891,0.018582497,0.066436112,0.038699032,0.057627843,0.041432271,0.003794629,0.042521307,0.006141552,0.050588045,0.026760022,0.032690578,0.033431188,0.046531551,0.049797916,0.033507199
DB_15_A_066,Bot7-2,352.9898071,0.340145638,5.46,5.34,29.16,3.961917278,4.360240222,4.840166802,4.863202286,5.054441436,5.112389688,5.71275044,5.735178422,5.905812096,6.1103543,6.189069202,6.193321716,6.210083812,6.333443912,6.413968922,6.433532966,6.566575904,6.622862824,6.762836244,6.869558228,1.21039618,0.532016221,0.006316034,0.000958146,0.326370558,0.178581954,0.10908431,0.030440761,0.007053765,0.031274711,0.095422542,0.035532053,0.099401912,0.220729462,0.046697224,0.102196878,0.679425508,0.066016744,0.036904101,0.03324699
DB_12_A_022,r2-d9,359,0.742227398,5.55,5,27.75,4.158772722,4.198347138,4.21606388,4.601629282,4.842559616,4.914554802,5.23908485,5.299413518,5.325697278,5.333570008,5.381401492,5.484664434,5.500905814,5.566714398,5.84100775,5.92072689,5.973988698,6.14234114,6.161644826,6.299225432,0.621504624,0.953729742,0.026940408,0.076889467,0.001797498,0.001494178,0.213821731,0.039816586,0.022022831,0.015799701,0.002274562,0.002351879,0.002108343,0.06858576,0.073997633,0.006763311,0.001846742,0.044420489,0.08452029,0.085125926
DB_15_A_053,r1-d3,321,0.304980363,2.88,5,14.4,4.171468274,4.608671346,4.991905924,5.36269291,5.48661092,5.595019032,5.885789326,5.98054724,6.051860536,6.14438681,6.270176918,6.273127642,6.308077604,6.44658806,6.49624205,6.626160692,6.706313762,6.719046508,6.741338112,6.86347081,0.540995383,0.468697887,0.008787269,0.632887783,0.140393233,0.024349467,0.052757859,0.16231041,0.068140895,0.002660245,0.060453371,0.033397411,0.000237874,0.456843472,0.19620083,0.16426424,0.088812008,0.141303824,0.059077727,0.048367822
DB_22_A_023,Bot7-6,371.9871216,0.533175044,4.3,4.8,20.64,4.083107728,4.30619734,4.62680962,4.767080592,4.844568092,5.277407068,5.301545974,5.402974012,5.48902853,5.65937705,5.673969496,5.85600933,6.012000966,6.028738266,6.056584174,6.133650142,6.14829218,6.235288946,6.335303612,6.3818705,1.559673067,0.090285353,0.296640823,0.07296768,0.151152773,0.048322495,0.0407993,1.448579204,0.045648684,0.012150571,0.050407124,0.015112937,0.164460846,0.004319847,0.221436299,0.039644367,0.039807772,0.017816676,0.020522494,0.429407709
DB_20_A_017,r1-d10,320,0.10168949,2.35,3.5,8.23,3.317754392,3.359684428,3.779108768,3.802045068,4.133542792,4.25486962,4.44604678,4.52911338,4.5717625,4.89993756,5.056040778,5.15670014,5.291639972,5.392646478,5.515547852,5.618203292,5.802338388,5.844491588,5.907746184,5.930620494,0.042465037,0.215620709,0.004578604,0.007163361,0.619325185,0.002457048,0.09970563,0.030830812,0.591234143,0.027935053,0.007679742,0.05425947,0.728242734,0.013340016,0.109195666,0.48759326,0.179524583,0.076811498,0.371956432,0.038679522
DB_19_A_021,r1-d2,421,0.461278059,12.25,3,36.75,3.56864032,4.19207375,4.379742276,4.696064848,4.88351021,4.924101262,5.036600714,5.131767762,5.198865738,5.37471897,5.41036322,5.49076425,5.51289468,5.53353735,5.606016058,5.724082212,5.753701034,5.868791668,5.882020334,5.917081878,2.860003637,0.093728635,0.108825081,0.016517137,0.002603618,0.036515415,0.043841079,0.081590489,0.020085223,0.121659225,0.036905898,0.00011472,0.029861709,0.038845252,0.250328256,0.112674237,0.027594138,0.035512352,0.007091928,0.444284178
DB_17_A_029,Bot7-3,399.9960632,0.344881609,7.48,2.42,18.1,3.665803446,4.17775406,4.69090728,4.980859306,5.00972185,5.282701014,5.47024556,5.536686442,5.538980072,5.653202846,5.749857654,5.904758266,5.976046766,6.117619528,6.128257012,6.197338668,6.243744382,6.363484266,6.394318092,6.500593748,1.562118814,0.111069192,0.00362255,0.002321459,0.12151685,0.05157188,0.117383657,0.008073568,0.031035811,0.035474588,0.003277758,0.038174779,0.018246855,0.246071602,0.070756605,0.018973323,0.045551407,0.648364079,0.080928156,0.111151552
DB_08_A_034,r3-6,401,0.517235667,6.08,2.36,14.35,3.868039622,4.177654876,4.548218698,4.719782222,4.790054086,5.09260248,5.38265369,5.475725476,5.593122138,5.600560938,5.687260152,5.769570474,5.793250654,5.805413092,5.888777244,5.972575326,5.981625866,6.064146954,6.149395602,6.28560003,0.486752726,0.000200526,0.253083429,0.402391693,0.009968897,0.001589074,1.78E-05,0.005685347,0.000978695,0.170581087,0.162874445,0.174298495,0.608545997,1.36595388,0.091050818,0.112954475,0.000872728,0.011125825,0.014187414,0.006684465
DB_16_A_061,r2-d10,377,0.182666667,4.46,1.9,8.47,3.843429592,4.186159904,4.29410929,4.842311656,5.26877806,5.269323572,5.40999128,5.562933008,5.563528112,5.61406236,5.72892983,5.776773712,5.891492406,6.037565642,6.07663174,6.202793788,6.207319058,6.347614826,6.39395855,6.490005856,1.73041536,0.038907387,0.172084294,0.012922481,0.113290313,0.079522199,0.020456608,0.001724906,0.02710253,0.241555806,0.033543736,0.221394377,0.233347135,0.068635711,0.002936943,0.196112598,0.072810333,0.060415667,0.744914448,0.129961536
DB_19_A_025,r2-4,421,0.596664861,14.58,1.5,21.87,3.59337433,4.17205098,4.491138306,4.786347084,5.11510485,5.190373108,5.323254872,5.391840608,5.411528632,5.559064832,5.6485288,5.669469022,5.742344466,5.787361604,5.789221304,5.888454896,5.946068402,6.040714734,6.08481442,6.15591695,2.041171253,0.123229791,0.002081348,0.048485438,0.089915386,0.284117079,0.202455028,0.08769467,0.053362607,0.034064334,0.036876086,0.00018513,0.009118645,0.003841553,0.004434758,0.300276964,0.142894309,0.131652364,0.003682321,0.086906997
DB_18_A_094,r1-d8,392,0.53534683,12.2,1.5,18.3,3.787328642,4.217948376,4.80335714,4.816635398,5.098107192,5.24987111,5.36281689,5.639056728,5.740720328,5.888479692,5.928636814,5.953383222,6.076718526,6.089538058,6.184209186,6.224626666,6.250712058,6.262626536,6.38912333,6.403554602,2.094704645,0.136051624,0.044389009,0.108367818,0.011588072,0.095527435,0.020774825,0.063067867,0.001828038,0.07448777,0.020644514,0.0227754,0.229773361,0.004290587,0.024600783,0.007368526,0.033251468,0.116507086,0.017785677,0.432081225
DB_01_A_010,r1-d1,343,0.076641412,0.8,,,4.121789488,4.164066668,4.198260352,4.702796962,4.7069007,4.784722946,4.812618446,5.031319166,5.285007042,5.320056188,5.577463464,5.77616621,6.096927266,6.12547986,6.173943642,6.304420194,6.328844254,6.366162234,6.731816448,6.910930354,0.099734341,0.004162025,0.00969819,0.051003352,0.005799347,0.010677354,0.01827467,0.034691365,0.06272432,0.00506952,0.231669381,0.052626374,0.15581669,0.036925424,0.116532219,0.007055487,0.10421172,0.205448069,0.18590945,0.034199713
DB_05_A_073,r1-d9,283,,0.1,,,4.911765252,5.061012376,5.107839622,5.790771054,5.876131284,5.981452294,6.405538282,6.53889117,6.56684866,6.616105914,6.755124688,6.778098182,6.778966042,7.121398802,7.165684458,7.17416469,7.204514994,7.281791728,7.287308838,7.467389788,0.068146837,0.537027761,0.446915118,0.095647,0.107993877,0.054353999,0.039032032,0.021026572,0.020153511,0.013663415,0.019574073,0.004293124,0.008491024,0.214312379,0.128363316,0.001128061,0.031328941,0.003684804,0.046176394,0.006539361
DB_05_A_089,r2-1,266,,0.1,,,4.981442012,5.039712612,5.33306169,5.471001838,5.875003066,6.266023588,6.570431682,6.64948133,6.805212608,6.910620404,6.968209114,6.973490662,7.05470996,7.054982716,7.189748976,7.242614048,7.242862008,7.413148538,7.508389974,7.580236384,0.151280985,0.468838113,0.009155888,0.832425457,0.108534078,0.055140045,0.020124945,0.047864915,0.02055598,0.192450093,0.015879843,0.182915261,0.648813582,0.012758514,0.204240298,0.141038326,0.10545602,0.080466034,0.009881539,0.030819111
DB_05_A_002,r4-4,280,,0.1,,,4.922241562,4.993778022,5.16643257,5.839247234,5.86003868,5.970244502,6.341589398,6.472475084,6.54397435,6.60757609,6.61408504,6.858598396,6.946810166,6.957212088,7.104934258,7.118919202,7.141334786,7.214805334,7.428236904,7.455276942,0.103361216,0.412465668,0.51071132,0.054728134,0.079811299,0.039405981,0.032993285,0.044843983,0.047725252,0.018445536,0.028665732,0.016948092,0.046288165,0.04399749,0.193237724,0.007600818,0.052879377,0.077850292,0.024317749,0.029108041
DB_01_A_001,,,,,,,3.774930642,4.269697628,4.90638452,4.936003342,5.048663968,5.589861464,5.663418798,5.751655364,6.14810621,6.235809662,6.545610886,6.741251326,6.874108294,6.976255416,7.088345734,7.30006638,7.42032698,7.642970264,7.69320696,7.771512728,0.200349657,4.47E-05,0.317538134,0.000886133,0.728409367,0.015697401,0.00953353,0.0484322,0.061362583,0.173705966,0.0986968,0.044847144,0.050558795,0.001598767,0.256037834,0.002497387,0.003188624,0.065221933,0.129886835,0.048161502
DB_01_A_003,,,,,,,5.140781108,5.318903174,5.480300338,5.999664956,6.162351512,6.362504824,6.458589324,6.523802804,6.671016656,6.715463486,6.927779236,6.970614326,6.99842304,7.160936024,7.282671986,7.463806766,7.500579234,7.73281857,7.806499884,7.865948294,0.119581585,0.150882698,0.14087006,0.058020372,0.15914315,0.047527972,0.029611962,0.047028982,0.040574498,0.014500795,0.067123478,0.02875461,0.045436384,0.092424286,0.507679286,0.030960779,0.151504289,0.092735197,0.263777847,0.010142248
DB_01_A_004,,,,,,,5.027587368,5.264079218,5.843958474,6.545325732,6.647795202,6.727439954,6.937561258,7.212759664,7.440374546,7.467724534,7.672527096,7.76709904,7.795602042,7.862700018,8.217047256,8.307949392,8.362897328,8.502151664,8.539358062,8.586941586,0.559705027,0.035312546,0.080955485,0.083671279,0.04321388,0.033445991,0.006849778,0.139809938,0.158347684,0.22883979,0.473134941,0.022773261,0.002489154,0.074859526,0.077147158,0.005109809,0.022782714,0.225101458,0.130981381,0.064801002
DB_01_A_005,,,,,,,5.196832466,5.96833521,6.091298574,6.340039648,6.535580904,6.88969258,6.930209244,6.943599084,7.386195286,7.48231698,7.613822566,7.656980004,8.028535666,8.14009287,8.182977552,8.196404586,8.344436706,8.406426706,8.477826788,8.561786044,0.594343501,0.10376732,0.048953777,0.000246674,0.000582805,0.00585458,0.089338666,0.000319567,0.173060208,0.053362276,0.247230849,0.003987941,0.078489307,0.200570197,0.187675015,0.002645843,0.049208318,0.015880615,0.023025413,0.000263077
DB_01_A_006,,,,,,,4.191862984,4.764514206,4.78296243,5.014792632,5.130552758,5.211834046,5.236865608,5.91601565,5.972091804,6.077400416,6.148614528,6.18096091,6.2603701,6.313272366,6.62939657,6.78530142,6.79044659,6.84332406,6.949190582,7.070554604,1.96E-05,0.399631573,0.000295368,0.005017209,0.035626011,0.265443552,0.234358309,0.041323115,0.015005584,0.04740771,0.031672183,0.000988313,0.041707251,0.104326336,0.038180084,0.032492421,0.022291776,0.039478977,0.410470708,0.147013252
DB_01_A_007,,,,,,,4.68508022,4.991484392,5.431638188,5.830568634,6.103684176,6.148056618,6.375163182,6.425871002,6.580077326,6.74308623,6.79094251,6.794736298,6.87190145,7.06946358,7.309141716,7.33757033,7.449288708,7.472758122,7.793283616,7.826212704,0.162194756,0.796068176,0.005072836,0.00192566,0.013747448,0.128610351,0.034374638,0.026115994,0.006899187,0.002336766,0.061154593,0.12602078,0.026673232,0.146458153,0.040920717,0.586640078,0.073137903,0.063949945,0.051843273,0.049659944
