DBA_Name,Batch_ID,PL_Lambda_max,absorbance_peak,SO,T80,SO*T80,NumRotatableBonds,NumHeteroatoms,TDOS2.5,TDOS3.9
DB_10_A_002,r5-5,392.3,0.964111092,12.37,8.64,106.88,14,5,1.840916263,4.666549857
DB_09_A_002,r5-6s2,389,0.492773667,7.89,7.86,62.02,14,4,1.437375514,4.430500738
DB_13_A_080,Top7-7,379.3262533,0.564268952,6.1,6.67,40.69,3,7,1.335996691,2.289467012
DB_15_A_066,Bot7-2,352.9898071,0.340145638,5.46,5.34,29.16,17,7,1.404692962,7.337506353
DB_12_A_022,r2-d9,359,0.742227398,5.55,5,27.75,8,7,1.736427953,7.0667746
DB_15_A_053,r1-d3,321,0.304980363,2.88,5,14.4,17,8,0.582467753,4.671220357
DB_22_A_023,Bot7-6,371.9871216,0.533175044,4.3,4.8,20.64,18,8,1.549436976,8.089378363
DB_20_A_017,r1-d10,320,0.10168949,2.35,3.5,8.23,17,11,2.571654627,10.22917293
DB_19_A_021,r1-d2,421,0.461278059,12.25,3,36.75,23,13,2.200909649,9.346100125
DB_17_A_029,Bot7-3,399.9960632,0.344881609,7.48,2.42,18.1,16,6,1.607863954,6.069369688
DB_08_A_034,r3-6,401,0.517235667,6.08,2.36,14.35,3,2,0.894386184,8.855905145
DB_16_A_061,r2-d10,377,0.182666667,4.46,1.9,8.47,17,9,1.959069496,6.730180027
DB_19_A_025,r2-4,421,0.596664861,14.58,1.5,21.87,19,9,1.960543368,7.690881058
DB_18_A_094,r1-d8,392,0.53534683,12.2,1.5,18.3,21,13,2.01972301,6.077795285
DB_01_A_010,r1-d1,343,0.076641412,0.8,,,4,9,0.000170115,6.196104951
DB_05_A_073,r1-d9,283,,0.1,,,9,2,0.000799539,0.799095878
DB_05_A_089,r2-1,266,,0.1,,,10,1,0.00084521,2.062727584
DB_05_A_002,r4-4,280,,0.1,,,13,2,0.001215079,0.978811449
DB_01_A_001,,,,,,,5,6,1.879103098,4.718579944
DB_01_A_003,,,,,,,4,4,5.38E-07,1.628618967
DB_01_A_004,,,,,,,1,2,0.000643885,0.222264443
DB_01_A_005,,,,,,,3,7,0.000881004,0.071228727
DB_01_A_006,,,,,,,4,5,1.37E-05,3.803269958
DB_01_A_007,,,,,,,2,4,7.04E-06,2.545593771
DB_01_A_008,,,,,,,3,7,0.855508678,5.922674423
DB_01_A_009,,,,,,,4,3,0.001709159,0.979421631
DB_01_A_011,,,,,,,2,4,0.081396684,1.959224604
DB_01_A_012,,,,,,,7,3,0.000316897,3.188455485
DB_01_A_013,,,,,,,1,4,0.005890087,4.256087882
DB_01_A_014,,,,,,,3,4,0.00041201,2.02277748
DB_01_A_015,,,,,,,4,4,0.000267676,2.579384
DB_01_A_016,,,,,,,1,1,7.29E-08,2.258200917
DB_01_A_017,,,,,,,2,8,2.325304166,7.05271315
DB_01_A_018,,,,,,,3,5,0.002449695,1.555338577
DB_01_A_019,,,,,,,3,7,0.534051741,2.098176235
DB_01_A_020,,,,,,,4,6,0.000354207,3.751015286
DB_01_A_021,,,,,,,7,8,0.001084946,3.548770947
DB_01_A_022,,,,,,,6,6,0.621920607,6.074285127
DB_01_A_023,,,,,,,3,4,0.123807911,3.264034985
DB_01_A_024,,,,,,,3,4,4.93E-07,3.8490972
DB_01_A_025,,,,,,,3,4,0.001852767,2.245964946
DB_01_A_026,,,,,,,4,7,0.021519777,5.614012507
DB_01_A_027,,,,,,,2,1,0.818104947,10.61012778
DB_01_A_028,,,,,,,1,4,1.066111566,7.603458147
DB_01_A_029,,,,,,,1,2,0.115744795,1.33503225
DB_01_A_030,,,,,,,7,3,0.000510406,1.340601877
DB_01_A_031,,,,,,,5,3,0.000705375,1.959224028
DB_01_A_032,,,,,,,1,3,0.059836126,3.043779707
DB_01_A_033,,,,,,,5,6,0.00065632,0.335079144
DB_01_A_034,,,,,,,2,1,0.815475486,7.766153949
DB_01_A_035,,,,,,,3,4,0.009383944,1.262209682
DB_01_A_036,,,,,,,6,9,1.18E-09,3.435027339
DB_01_A_037,,,,,,,4,5,8.88E-05,0.480117115
DB_01_A_038,,,,,,,2,5,0.001533863,3.827264983
DB_01_A_039,,,,,,,1,4,0.003552514,1.653604636
DB_01_A_040,,,,,,,1,1,0.064517061,1.155201244
DB_01_A_041,,,,,,,2,6,1.415376863,1.232787507
DB_01_A_042,,,,,,,3,5,1.244275212,4.895112472
DB_01_A_043,,,,,,,2,4,1.17E-05,3.526184529
DB_01_A_044,,,,,,,1,5,0.664623361,2.841379691
DB_01_A_045,,,,,,,1,1,1.084099992,5.583047367
DB_01_A_046,,,,,,,5,2,0.00040388,2.469656655
DB_01_A_047,,,,,,,1,2,0.080112514,0.110220224
DB_01_A_048,,,,,,,1,4,0.011509974,3.458099382
DB_01_A_049,,,,,,,3,6,0.004783389,0.506189761
DB_01_A_050,,,,,,,1,4,4.24E-07,2.611689531
DB_01_A_051,,,,,,,2,6,0.001476548,0.27414572
DB_01_A_052,,,,,,,4,4,0.000641968,1.213575629
DB_01_A_053,,,,,,,3,5,0.000714671,1.074216738
DB_01_A_054,,,,,,,4,5,2.34E-09,2.578503732
DB_01_A_055,,,,,,,1,5,7.55E-05,3.309171319
DB_01_A_056,,,,,,,1,3,0.055825101,2.510103098
DB_01_A_057,,,,,,,2,7,0.00391322,3.646623253
DB_01_A_058,,,,,,,2,5,0.025983142,6.999625158
DB_01_A_059,,,,,,,4,4,0.001861362,0.735070384
DB_01_A_060,,,,,,,1,6,0.000315994,2.770598309
DB_01_A_061,,,,,,,2,5,0.130760545,2.952036252
DB_01_A_062,,,,,,,2,8,0.000317143,2.893033922
DB_01_A_063,,,,,,,2,3,0.015803926,2.353956816
DB_01_A_064,,,,,,,2,2,0.000713789,1.277458704
DB_01_A_065,,,,,,,3,4,0.000153336,2.398831101
DB_01_A_066,,,,,,,3,4,0.371898122,2.373994974
DB_01_A_067,,,,,,,6,5,0.000467305,1.266062184
DB_01_A_068,,,,,,,4,8,0.001031428,4.197557743
DB_01_A_069,,,,,,,1,4,0.071012831,2.852272236
DB_01_A_070,,,,,,,3,4,0.000597069,0.281997007
DB_01_A_071,,,,,,,1,4,0.006503178,2.209566117
DB_01_A_072,,,,,,,4,5,8.05E-09,4.198201538
DB_01_A_073,,,,,,,8,2,0.004859124,1.592638984
DB_01_A_074,,,,,,,1,6,0.003087897,2.20457728
DB_01_A_075,,,,,,,5,6,0.001044618,2.174838554
DB_01_A_076,,,,,,,6,2,7.10E-07,1.318414008
DB_01_A_077,,,,,,,5,6,0.044556727,2.289789631
DB_01_A_078,,,,,,,1,4,0.000215396,1.433575823
DB_01_A_079,,,,,,,4,1,7.00E-10,3.067173596
DB_01_A_080,,,,,,,1,6,0.254940561,1.482327274
DB_01_A_081,,,,,,,1,3,5.09E-06,3.295450715
DB_01_A_082,,,,,,,2,4,3.98E-05,2.952362499
DB_01_A_083,,,,,,,4,2,0.036079444,5.706736609
DB_01_A_084,,,,,,,2,4,7.75E-07,3.332366612
DB_01_A_085,,,,,,,3,5,0.000941342,2.017710638
DB_01_A_086,,,,,,,5,4,0.000168664,0.820426802
DB_01_A_087,,,,,,,3,1,0.000578846,0.339273445
DB_01_A_088,,,,,,,3,3,0.144411844,3.362355702
DB_01_A_089,,,,,,,9,1,0.000470394,0.328522843
DB_01_A_090,,,,,,,5,4,0.000839758,3.541441242
DB_01_A_091,,,,,,,2,1,5.54E-06,2.683259025
DB_01_A_092,,,,,,,5,4,0.000534237,2.264729802
DB_01_A_093,,,,,,,3,3,0.00039834,0.86582141
DB_01_A_094,,,,,,,6,8,0.005445128,0.57771461
DB_01_A_095,,,,,,,4,5,0.000122574,1.637891572
DB_01_A_096,,,,,,,1,3,0.460889905,4.050418658
DB_01_A_097,,,,,,,8,6,1.835320505,4.749361485
DB_01_A_098,,,,,,,2,3,0.005306431,0.638310695
DB_01_A_099,,,,,,,4,4,0.000946274,1.144351682
DB_01_A_100,,,,,,,1,2,0.019893087,4.804588003
DB_02_A_001,,,,,,,6,7,2.552375202,8.268727298
DB_02_A_002,,,,,,,13,3,0.611260743,4.299704371
DB_02_A_003,,,,,,,5,5,0.344460975,4.604113892
DB_02_A_004,,,,,,,2,3,0.942919203,3.383395017
DB_02_A_005,,,,,,,4,8,1.819392721,3.29920732
DB_02_A_006,,,,,,,5,6,0.821907066,7.170481985
DB_02_A_007,,,,,,,3,5,0.473185447,5.313283469
DB_02_A_008,,,,,,,4,8,0.596492156,8.128857671
DB_02_A_009,,,,,,,5,4,1.742415734,3.866748068
DB_02_A_010,,,,,,,5,10,0.51951789,10.31071729
DB_02_A_011,,,,,,,3,5,1.895395483,4.490501858
DB_02_A_012,,,,,,,8,4,0.965329759,6.168511817
DB_02_A_013,,,,,,,2,5,1.350571589,6.775482421
DB_02_A_014,,,,,,,4,5,1.174619289,4.93087495
DB_02_A_015,,,,,,,5,5,0.959352711,5.605403006
DB_02_A_016,,,,,,,2,2,0.511200318,4.583652568
DB_02_A_017,,,,,,,3,9,2.306701326,9.215565137
DB_02_A_018,,,,,,,4,6,1.651601847,3.974169738
DB_02_A_019,,,,,,,4,8,1.761767842,4.212370412
DB_02_A_020,,,,,,,5,7,0.69097777,6.539592807
DB_02_A_021,,,,,,,8,9,1.051194109,6.276819896
DB_02_A_022,,,,,,,7,7,0.41635719,8.679789328
DB_02_A_023,,,,,,,4,5,0.89581118,6.038111928
DB_02_A_024,,,,,,,4,5,1.116069779,6.793587938
DB_02_A_025,,,,,,,4,5,0.9860899,5.083196944
DB_02_A_026,,,,,,,5,8,1.077703499,8.193790811
DB_02_A_027,,,,,,,3,2,0.959736389,12.75203786
DB_02_A_028,,,,,,,2,5,1.146739636,9.611718524
DB_02_A_029,,,,,,,2,3,1.730844461,2.825155276
DB_02_A_030,,,,,,,8,4,0.654344355,4.676708058
DB_02_A_031,,,,,,,6,4,1.204083383,4.904048245
DB_02_A_032,,,,,,,2,4,1.649221533,5.46741638
DB_02_A_033,,,,,,,6,7,1.146915461,3.437906579
DB_02_A_034,,,,,,,3,2,0.850565019,10.2049514
DB_02_A_035,,,,,,,4,5,1.897418068,3.337784581
DB_02_A_036,,,,,,,7,10,0.135178618,5.275148447
DB_02_A_037,,,,,,,5,6,0.894912226,3.894024062
DB_02_A_038,,,,,,,3,6,0.986114338,6.013756169
DB_02_A_039,,,,,,,2,5,1.316568129,3.987100997
DB_02_A_040,,,,,,,2,2,1.411232449,4.615518492
DB_02_A_041,,,,,,,3,7,2.792874043,3.576345409
DB_02_A_042,,,,,,,4,6,1.037231528,6.837292035
DB_02_A_043,,,,,,,3,5,0.880208405,8.006769367
DB_02_A_044,,,,,,,2,6,1.95253433,2.844962476
DB_02_A_045,,,,,,,2,2,2.186768187,7.67649274
DB_02_A_046,,,,,,,6,3,1.295361409,5.628884213
DB_02_A_047,,,,,,,2,3,1.917492514,2.360376117
DB_02_A_048,,,,,,,2,5,1.990209304,5.380765128
DB_02_A_049,,,,,,,4,7,1.862961498,4.478796015
DB_02_A_050,,,,,,,2,5,0.66915194,5.701876547
DB_02_A_051,,,,,,,3,7,1.035543546,3.469246884
DB_02_A_052,,,,,,,5,5,0.383860998,5.354025616
DB_02_A_053,,,,,,,4,6,1.740768594,3.822212183
DB_02_A_054,,,,,,,5,6,0.090456453,4.436061002
DB_02_A_055,,,,,,,2,6,0.795026935,5.941410769
DB_02_A_056,,,,,,,2,4,0.663217385,4.948644141
DB_02_A_057,,,,,,,3,8,1.225584877,5.974863323
DB_02_A_058,,,,,,,3,6,0.124392388,8.771310165
DB_02_A_059,,,,,,,5,5,1.673001453,3.860325807
DB_02_A_060,,,,,,,2,7,1.900151791,4.343634938
DB_02_A_061,,,,,,,3,6,1.408957968,4.780115716
DB_02_A_062,,,,,,,3,9,1.113535222,6.322446821
DB_02_A_063,,,,,,,3,4,1.126255224,5.120555478
DB_02_A_064,,,,,,,3,3,1.372918476,4.120838552
DB_02_A_065,,,,,,,4,5,1.060603555,5.423484073
DB_02_A_066,,,,,,,4,5,1.262757422,4.508124187
DB_02_A_067,,,,,,,7,6,0.963960227,4.459898141
DB_02_A_068,,,,,,,5,9,0.993981001,7.495337479
DB_02_A_069,,,,,,,2,5,1.957246799,3.221798169
DB_02_A_070,,,,,,,4,5,1.143176074,3.405752596
DB_02_A_071,,,,,,,2,5,1.300546754,4.451302547
DB_02_A_072,,,,,,,5,6,0.112562801,5.994096504
DB_02_A_073,,,,,,,9,3,0.700626043,4.130504572
DB_02_A_074,,,,,,,2,7,1.128468524,4.866890664
DB_02_A_075,,,,,,,6,7,1.178216585,5.007307392
DB_02_A_076,,,,,,,7,3,0.105540045,4.665957481
DB_02_A_077,,,,,,,6,7,1.383650547,4.57956678
DB_02_A_078,,,,,,,2,5,1.344133171,5.292886486
DB_02_A_079,,,,,,,5,2,0.159754765,4.861936802
DB_02_A_080,,,,,,,2,7,1.976987344,2.558563493
DB_02_A_081,,,,,,,2,4,0.838118045,5.28904654
DB_02_A_082,,,,,,,3,5,0.919336347,6.12423973
DB_02_A_083,,,,,,,5,3,1.496111228,8.036645709
DB_02_A_084,,,,,,,3,5,0.495152682,6.21830105
DB_02_A_085,,,,,,,4,6,0.833377647,5.281436026
DB_02_A_086,,,,,,,6,5,1.541467582,3.576432353
DB_02_A_087,,,,,,,4,2,1.182938101,3.550480462
DB_02_A_088,,,,,,,4,4,1.234316595,5.8395048
DB_02_A_089,,,,,,,10,2,0.785826514,3.321970212
DB_02_A_090,,,,,,,6,5,0.567406547,6.533543687
DB_02_A_091,,,,,,,3,2,0.272901886,5.4805477
DB_02_A_092,,,,,,,6,5,0.695856432,5.575640068
DB_02_A_093,,,,,,,4,4,1.196209071,3.935037927
DB_02_A_094,,,,,,,7,9,1.363639116,3.139506575
DB_02_A_095,,,,,,,5,6,1.096858223,4.82268192
DB_02_A_096,,,,,,,2,4,2.054832922,7.083490955
DB_02_A_097,,,,,,,9,7,3.157336992,7.614989491
DB_02_A_098,,,,,,,3,4,1.244348848,3.452355448
DB_02_A_099,,,,,,,5,5,0.869485901,3.805787231
DB_02_A_100,,,,,,,2,3,1.445855668,7.210844172
DB_03_A_001,,,,,,,6,8,2.261177779,8.170324987
DB_03_A_002,,,,,,,13,4,0.60180861,4.237796634
DB_03_A_003,,,,,,,5,6,0.504794218,3.863008144
DB_03_A_004,,,,,,,2,4,0.973640525,3.199958444
DB_03_A_005,,,,,,,4,9,1.281185185,2.717294244
DB_03_A_006,,,,,,,5,7,0.593356136,7.75806355
DB_03_A_007,,,,,,,3,6,0.672593452,5.153447785
DB_03_A_008,,,,,,,4,9,1.015539182,8.855617901
DB_03_A_009,,,,,,,5,5,1.650285534,3.771399837
DB_03_A_010,,,,,,,5,11,0.663205851,10.2156417
DB_03_A_011,,,,,,,3,6,1.878211024,3.883279416
DB_03_A_012,,,,,,,8,5,1.188355157,5.973766352
DB_03_A_013,,,,,,,2,6,1.755454387,6.711084845
DB_03_A_014,,,,,,,4,6,1.632475476,4.504323097
DB_03_A_015,,,,,,,5,6,1.089242724,5.114266777
DB_03_A_016,,,,,,,2,3,0.366391447,4.016770619
DB_03_A_017,,,,,,,3,10,3.35296564,8.046828456
DB_03_A_018,,,,,,,4,7,1.020546883,4.40328576
DB_03_A_019,,,,,,,4,9,1.813338364,4.516872823
DB_03_A_020,,,,,,,5,8,1.327394647,6.945183172
DB_03_A_021,,,,,,,8,10,1.536694969,6.489657376
DB_03_A_022,,,,,,,7,8,1.529704645,8.203845861
DB_03_A_023,,,,,,,4,6,0.812802396,5.390883554
DB_03_A_024,,,,,,,4,6,0.310818998,6.178230702
DB_03_A_025,,,,,,,4,6,1.127348106,4.88690593
DB_03_A_026,,,,,,,5,9,1.384669308,8.00542218
DB_03_A_027,,,,,,,3,3,0.964503375,12.79138722
DB_03_A_028,,,,,,,2,6,1.585545621,8.625049999
DB_03_A_029,,,,,,,2,4,1.752834654,3.933483067
DB_03_A_030,,,,,,,8,5,1.111493119,4.262127705
DB_03_A_031,,,,,,,6,5,1.574341874,4.449206786
DB_03_A_032,,,,,,,2,5,1.144552143,5.076474902
DB_03_A_033,,,,,,,6,8,0.818316267,3.408662289
DB_03_A_034,,,,,,,3,3,1.017049286,10.48197848
DB_03_A_035,,,,,,,4,6,1.299002268,3.843770686
DB_03_A_036,,,,,,,7,11,0.40266158,4.446929901
DB_03_A_037,,,,,,,5,7,0.677456766,3.812794471
DB_03_A_038,,,,,,,3,7,0.761875196,6.004956489
DB_03_A_039,,,,,,,2,6,1.727322307,3.97501107
DB_03_A_040,,,,,,,2,3,1.821518816,3.746438778
DB_03_A_041,,,,,,,3,8,2.581326044,4.134075075
DB_03_A_042,,,,,,,4,7,1.29071597,6.867986284
DB_03_A_043,,,,,,,3,6,0.896598531,7.747639242
DB_03_A_044,,,,,,,2,7,2.001828747,3.378050997
DB_03_A_045,,,,,,,2,3,2.194231494,7.645937989
DB_03_A_046,,,,,,,6,4,0.900897746,5.421063803
DB_03_A_047,,,,,,,2,4,1.777592776,3.082405152
DB_03_A_048,,,,,,,2,6,1.461952392,5.935727292
DB_03_A_049,,,,,,,4,8,1.389948008,3.067549041
DB_03_A_050,,,,,,,2,6,0.583431058,5.226275467
DB_03_A_051,,,,,,,3,8,1.109678525,3.104150622
DB_03_A_052,,,,,,,5,6,1.201406199,4.158180922
DB_03_A_053,,,,,,,4,7,0.852474371,3.891880772
DB_03_A_054,,,,,,,5,7,0.564728487,4.388325162
DB_03_A_055,,,,,,,2,7,0.952391383,5.885904988
DB_03_A_056,,,,,,,2,5,0.82200315,4.896953866
DB_03_A_057,,,,,,,3,9,1.82693146,5.407216088
DB_03_A_058,,,,,,,3,7,0.559306866,8.750611226
DB_03_A_059,,,,,,,5,6,0.879100479,3.749945819
DB_03_A_060,,,,,,,2,8,1.05987439,3.847864849
DB_03_A_061,,,,,,,3,7,1.283082395,5.172688757
DB_03_A_062,,,,,,,3,10,1.064978241,5.419029676
DB_03_A_063,,,,,,,3,5,1.005656804,4.927001988
DB_03_A_064,,,,,,,3,4,1.226678735,4.217058889
DB_03_A_065,,,,,,,4,6,0.834771211,5.290643775
DB_03_A_066,,,,,,,4,6,1.82198438,4.717286024
DB_03_A_067,,,,,,,7,7,0.841201377,4.344799894
DB_03_A_068,,,,,,,5,10,0.947965655,8.923511651
DB_03_A_069,,,,,,,2,6,1.899093242,3.187648094
DB_03_A_070,,,,,,,4,6,0.881057759,3.31736454
DB_03_A_071,,,,,,,2,6,1.691755276,4.375970035
DB_03_A_072,,,,,,,5,7,0.216867168,6.113581491
DB_03_A_073,,,,,,,9,4,0.609760996,4.116510007
DB_03_A_074,,,,,,,2,8,1.125319129,4.772276878
DB_03_A_075,,,,,,,6,8,1.605377367,5.087949644
DB_03_A_076,,,,,,,7,4,0.176962646,4.402474217
DB_03_A_077,,,,,,,6,8,1.332719627,4.292913942
DB_03_A_078,,,,,,,2,6,1.036945255,4.430732257
DB_03_A_079,,,,,,,5,3,0.197235219,4.37277699
DB_03_A_080,,,,,,,2,8,1.984077472,3.245797294
DB_03_A_081,,,,,,,2,5,0.631324367,5.072731844
DB_03_A_082,,,,,,,3,6,1.603111117,5.403416692
DB_03_A_083,,,,,,,5,4,1.74896412,7.959939442
DB_03_A_084,,,,,,,3,6,0.586156965,5.944034317
DB_03_A_085,,,,,,,4,7,0.588894226,4.997329629
DB_03_A_086,,,,,,,6,6,1.501149848,3.572578503
DB_03_A_087,,,,,,,4,3,0.982476468,3.313827378
DB_03_A_088,,,,,,,4,5,0.554439462,5.366799075
DB_03_A_089,,,,,,,10,3,1.666261002,3.164893086
DB_03_A_090,,,,,,,6,6,0.751972693,5.491515717
DB_03_A_091,,,,,,,3,3,0.489537254,5.232446878
DB_03_A_092,,,,,,,6,6,1.650209145,5.277037201
DB_03_A_093,,,,,,,4,5,0.948444425,3.801554598
DB_03_A_094,,,,,,,7,10,1.501763045,3.141931668
DB_03_A_095,,,,,,,5,7,0.23315069,5.230001048
DB_03_A_096,,,,,,,2,5,1.865287489,6.385085213
DB_03_A_097,,,,,,,9,8,3.038980966,7.600504705
DB_03_A_098,,,,,,,3,5,1.760578834,3.324228801
DB_03_A_099,,,,,,,5,6,1.122059374,4.071258098
DB_03_A_100,,,,,,,2,4,1.646778392,6.89842743
DB_04_A_001,,,,,,,7,8,3.725846443,7.053663543
DB_04_A_002,,,,,,,14,4,1.689172174,2.460874809
DB_04_A_003,,,,,,,6,6,1.141034194,2.731941968
DB_04_A_004,,,,,,,3,4,1.813156569,2.605431672
DB_04_A_005,,,,,,,5,9,1.924432714,2.318853819
DB_04_A_006,,,,,,,6,7,1.619350702,5.103395441
DB_04_A_007,,,,,,,4,6,1.73855568,3.411810568
DB_04_A_008,,,,,,,5,9,2.260548916,6.064029556
DB_04_A_009,,,,,,,6,5,1.974588396,3.099772748
DB_04_A_010,,,,,,,6,11,1.047612839,7.433463289
DB_04_A_011,,,,,,,4,6,2.060074995,2.833213857
DB_04_A_012,,,,,,,9,5,1.987810075,5.431053589
DB_04_A_013,,,,,,,3,6,1.916421832,5.943589876
DB_04_A_014,,,,,,,5,6,1.996954879,3.525760566
DB_04_A_015,,,,,,,6,6,1.992831322,4.104289893
DB_04_A_016,,,,,,,3,3,1.692357319,2.910114915
DB_04_A_017,,,,,,,4,10,4.597441454,4.911183363
DB_04_A_018,,,,,,,5,7,2.003500605,2.938189173
DB_04_A_019,,,,,,,5,9,2.025158728,2.846459352
DB_04_A_020,,,,,,,6,8,1.976476981,5.417487594
DB_04_A_021,,,,,,,9,10,2.005328277,5.086292315
DB_04_A_022,,,,,,,8,8,2.317439122,6.283484402
DB_04_A_023,,,,,,,5,6,2.054622171,3.877710641
DB_04_A_024,,,,,,,5,6,0.8711648,4.869319916
DB_04_A_025,,,,,,,5,6,1.99714897,3.825486152
DB_04_A_026,,,,,,,6,9,1.995574276,6.204357353
DB_04_A_027,,,,,,,4,3,1.897810436,9.806941398
DB_04_A_028,,,,,,,3,6,2.444991113,6.383272009
DB_04_A_029,,,,,,,3,4,1.917580499,2.051311802
DB_04_A_030,,,,,,,9,5,0.757188053,3.850241829
DB_04_A_031,,,,,,,7,5,1.985466242,4.916083597
DB_04_A_032,,,,,,,3,5,2.046985233,3.339299311
DB_04_A_033,,,,,,,7,8,1.889910247,2.605170644
DB_04_A_034,,,,,,,4,3,2.320372945,9.083335914
DB_04_A_035,,,,,,,5,6,2.005713295,3.881430142
DB_04_A_036,,,,,,,8,11,1.226161198,3.231152873
DB_04_A_037,,,,,,,6,7,1.888170255,2.960025107
DB_04_A_038,,,,,,,4,7,1.789819922,4.503316692
DB_04_A_039,,,,,,,3,6,2.009019529,3.571635382
DB_04_A_040,,,,,,,3,3,1.874012298,3.252332353
DB_04_A_041,,,,,,,4,8,3.265167719,2.918007597
DB_04_A_042,,,,,,,5,7,2.781132067,4.647641377
DB_04_A_043,,,,,,,4,6,1.653729551,6.206279617
DB_04_A_044,,,,,,,3,7,1.796208936,3.426080367
DB_04_A_045,,,,,,,3,3,2.892655888,6.356403733
DB_04_A_047,,,,,,,3,4,1.524744283,2.535305769
DB_04_A_048,,,,,,,3,6,1.879721394,4.420525268
DB_04_A_049,,,,,,,5,8,1.984057629,3.006448982
DB_04_A_050,,,,,,,3,6,1.9693606,4.089269859
DB_04_A_051,,,,,,,4,8,1.984542033,2.743900877
DB_04_A_052,,,,,,,6,6,1.930976852,3.205184457
DB_04_A_053,,,,,,,5,7,2.003165011,3.637120161
DB_04_A_054,,,,,,,6,7,1.743754161,2.213162716
DB_04_A_055,,,,,,,3,7,1.862941153,4.545019611
DB_04_A_056,,,,,,,3,5,2.01810767,3.064423601
DB_04_A_057,,,,,,,4,9,1.813891124,5.803074164
DB_04_A_058,,,,,,,4,7,1.794521261,6.940837021
DB_04_A_059,,,,,,,6,6,1.989995497,3.263318988
DB_04_A_060,,,,,,,3,8,1.99565216,5.912260579
DB_04_A_061,,,,,,,4,7,2.118612108,3.561861019
DB_04_A_062,,,,,,,4,10,1.909480747,5.27189435
DB_04_A_063,,,,,,,4,5,1.972017703,3.874335913
DB_04_A_064,,,,,,,4,4,1.860107888,3.443097029
DB_04_A_065,,,,,,,5,6,1.989468812,4.734844808
DB_04_A_066,,,,,,,5,6,2.219705672,4.229102447
DB_04_A_067,,,,,,,8,7,1.991554694,3.839229008
DB_04_A_068,,,,,,,6,10,1.967882237,8.08193373
DB_04_A_069,,,,,,,3,6,1.928395288,4.452912458
DB_04_A_071,,,,,,,3,6,1.809001304,2.747829296
DB_04_A_072,,,,,,,6,7,1.503452909,3.94812647
DB_04_A_073,,,,,,,10,4,1.620520883,2.603845629
DB_04_A_074,,,,,,,3,8,1.999561258,3.764661307
DB_04_A_075,,,,,,,7,8,1.95263096,4.066504221
DB_04_A_076,,,,,,,8,4,1.416468662,2.839451391
DB_04_A_077,,,,,,,7,8,2.060006765,3.156359413
