FeatID,FeatA,FeatB,FeatC,FeatD,R2,Creg
3970,Mass,HAcceptors,ChargeCorrection,TDOS2.2,0.72,100
183324,HAcceptors,NumRotatableBonds,TDOS4.0,TDOS4.2,0.72,100
12171,Mass,Asphericity,NumHeteroatoms,TDOS1.5,0.72,100
9257,Mass,LogP,NumHeteroatoms,TDOS1.7,0.72,100
164403,HAcceptors,HDonors,FreeEnergy,TDOS2.1,0.72,100
182228,HAcceptors,NumRotatableBonds,TDOS2.0,TDOS2.6,0.72,100
164404,HAcceptors,HDonors,FreeEnergy,TDOS2.2,0.72,100
4139,Mass,HAcceptors,TDOS1.6,TDOS2.9,0.72,1000
4148,Mass,HAcceptors,TDOS1.6,TDOS3.8,0.72,100
4351690,TDOS3.2,TDOS4.0,TDOS4.1,TDOS4.3,0.72,100
4193,Mass,HAcceptors,TDOS1.7,TDOS2.9,0.72,1000
4202,Mass,HAcceptors,TDOS1.7,TDOS3.8,0.72,100
4247,Mass,HAcceptors,TDOS1.8,TDOS2.9,0.72,1000
1602264,TDOS2.1,TDOS4.0,SDOS3.5,SDOS4.0,0.72,1000
499740,LogP,NumHeteroatoms,FreeEnergy,TDOS1.8,0.72,100
338787,HDonors,NumRotatableBonds,NumHeteroatoms,TDOS3.9,0.72,100
24574,Mass,NumHeteroatoms,T2,O3,0.72,100
27347,Mass,NumHeteroatoms,FreeEnergy,TDOS1.7,0.72,100
27403,Mass,NumHeteroatoms,TDOS1.5,TDOS1.9,0.72,100
4582,Mass,HAcceptors,S8,O3,0.72,100
4684,Mass,HAcceptors,S10,O3,0.72,100
27402,Mass,NumHeteroatoms,TDOS1.5,TDOS1.8,0.72,100
815985,Rg,NumHeteroatoms,TDOS3.8,TDOS3.9,0.72,100
3331601,TDOS2.8,TDOS3.5,TDOS4.0,SDOS2.7,0.72,1000
27963,Mass,NumHeteroatoms,TDOS2.5,TDOS3.9,0.72,100
815122,Rg,NumHeteroatoms,TDOS2.2,TDOS4.0,0.72,100
815014,Rg,NumHeteroatoms,TDOS2.0,TDOS4.0,0.72,100
814906,Rg,NumHeteroatoms,TDOS1.8,TDOS4.0,0.72,100
27964,Mass,NumHeteroatoms,TDOS2.5,TDOS4.0,0.72,100
28019,Mass,NumHeteroatoms,TDOS2.6,TDOS4.1,0.72,100
27346,Mass,NumHeteroatoms,FreeEnergy,TDOS1.6,0.72,100
806050,Rg,TPSA,TDOS1.6,TDOS4.0,0.72,100
28834,Mass,NumHeteroatoms,TDOS4.1,TDOS4.6,0.72,1000
27345,Mass,NumHeteroatoms,FreeEnergy,TDOS1.5,0.72,100
9187282,TDOS2.1,TDOS3.1,TDOS3.2,TDOS4.0,0.72,1000
24523,Mass,NumHeteroatoms,T1,O3,0.72,100
27155,Mass,NumHeteroatoms,PrimeExcite(osc),TDOS4.1,0.72,100
500123,LogP,NumHeteroatoms,TDOS2.1,TDOS2.3,0.72,100
25339,Mass,NumHeteroatoms,S7,O3,0.72,100
27079,Mass,NumHeteroatoms,PrimeExcite(eV),TDOS1.9,0.72,100
27078,Mass,NumHeteroatoms,PrimeExcite(eV),TDOS1.8,0.72,100
9687439,TDOS2.3,TDOS3.1,TDOS3.3,TDOS4.0,0.72,1000
4069845,TDOS3.1,TDOS3.2,TDOS4.0,SDOS3.7,0.72,100
26972,Mass,NumHeteroatoms,LUMOp1(eV),TDOS2.0,0.72,1000
4174,Mass,HAcceptors,T10,O3,0.72,100
27404,Mass,NumHeteroatoms,TDOS1.5,TDOS2.0,0.72,100
3817,Mass,HAcceptors,T3,O3,0.72,100
3205,Mass,HAcceptors,HOMO(eV),O3,0.72,1000
19721,Mass,RingCount,SDOS3.3,SDOS3.9,0.72,1000
19772,Mass,RingCount,SDOS3.4,SDOS3.9,0.72,1000
20028,Mass,RingCount,SDOS3.9,SDOS4.0,0.72,100
6404564,TDOS4.0,SDOS3.0,SDOS3.2,SDOS3.9,0.72,1000
27460,Mass,NumHeteroatoms,TDOS1.6,TDOS2.2,0.72,100
975123,TPSA,HOMOm1(eV),TDOS1.5,TDOS3.9,0.72,1000
27457,Mass,NumHeteroatoms,TDOS1.6,TDOS1.9,0.72,100
27510,Mass,NumHeteroatoms,TDOS1.7,TDOS1.8,0.72,100
27511,Mass,NumHeteroatoms,TDOS1.7,TDOS1.9,0.72,100
27512,Mass,NumHeteroatoms,TDOS1.7,TDOS2.0,0.72,100
27513,Mass,NumHeteroatoms,TDOS1.7,TDOS2.1,0.72,100
